     x y
 1.691 1  
 1.691 1
 1.691 1
 1.691 1
 1.691 1
 1.691 1
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.691 0
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 1
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.724 0
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 1
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.755 0
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 1
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.784 0
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 1
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.811 0
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 1
 1.837 0
 1.837 0
 1.837 0
 1.837 0
 1.837 0
 1.837 0
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 1
 1.861 0
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
 1.884 1
