time  stage  deaths  risktime 
1         1      15      255 
2         1       5      224 
3         1      13      203
4         1      13      169     
5         1       3      148 
6         1       6      135 
7         1       3      124 
1         2      17      227 
2         2      11      191 
3         2      13      168 
4         2      15      138 
5         2       6      109 
6         2       4       99 
7         2      10       85 
1         3      89      443 
2         3      56      271 
3         3      29      175 
4         3      21      117 
5         3       8       83 
6         3      10       66
7         3       6       46 
