 household  income  
    1         18.3    
    2         19.0   
    3         17.7   
    4         24.0   
    5         18.3  
    6         16.4    
    7         17.8    
    8         19.2    
    9         17.3    
   10         20.2    
   11         19.6    
   12         16.0     
   13         24.5    
   14         20.6      
   15         21.8   
   16         17.0   
   17         29.9    
   18         15.6    
   19         19.4     
   20         25.4    
   21         21.1    
   22         27.3   
   23         21.0     
   24         17.0    
   25         19.2    
   26         24.0    
   27         22.4    
   28         15.9    
   29         26.2    
   30         17.9    
