  State  Percent_Symptoms  Percent_Masks
     AK                33             82
     AL                27             80
     AR                30             83
     AZ                18             86
     CA                15             90
     CO                21             85
     CT                15             92
     DC                11             97
     DE                18             93
     FL                20             83
     GA                24             80
     HI                12             91
     IA                33             74
     ID                37             73
     IL                24             86
     IN                30             81
     KS                31             79
     KY                29             83
     LA                24             76
     MA                13             93
     MD                16             92
     ME                15             86
     MI                22             85
     MN                25             86
     MO                33             77
     MS                26             77
     MT                39             78
     NC                23             83
     ND                45             72
     NE                36             79
     NH                15             87
     NJ                14             91
     NM                22             86
     NV                21             88
     NY                14             92
     OH                23             83
     OK                32             75
     OR                17             86
     PA                17             84
     RI                16             93
     SC                24             81
     SD                45             65
     TN                29             77
     TX                26             85
     UT                34             82
     VA                20             88
     VT                12             90
     WA                16             89
     WI                35             84
     WV                30             82
     WY                36             63

