  state   violent               murder   
  AK      64                    4.6   
  AL      43                    7.2   
  AR      46                    5.4   
  AZ      42                    5.4    
  CA      40                    4.6   
  CO      31                    3.4   
  CT      26                    2.4   
  DE      49                    4.2   
  FL      47                    5.0   
  GA      37                    5.6     
  HI      25                    1.5    
  ID      22                    1.7    
  IL      38                    5.5   
  IN      36                    5.4    
  IO      27                    1.4     
  KS      34                    3.9    
  KY      21                    3.8    
  LA      52                   10.8     
  MA      41                    2.0    
  MD      47                    6.4    
  ME      13                    1.8     
  MI      45                    6.4    
  MN      23                    2.1    
  MO      43                    6.1    
  MS      27                    6.5    
  MT      25                    2.2    
  NC      34                    4.8    
  ND      27                    2.2    
  NE      26                    3.1    
  NH      22                    1.7    
  NJ      29                    4.5    
  NM      61                    6.0    
  NV      60                    5.8    
  NY      39                    3.3    
  OH      29                    3.9    
  OK      44                    5.1    
  OR      25                    2.0    
  PA      34                    4.7    
  RI      26                    2.9    
  SC      51                    6.2    
  SD      32                    2.4   
  TN      59                    5.0   
  TX      41                    4.3    
  UT      22                    1.7    
  VA      20                    3.8    
  VT      12                    1.6    
  WA      29                    2.3    
  WI      28                    2.8    
  WV      30                    3.3    
  WY      21                    2.9   
