state guns suicide
AK 60.6 23.3
AL 57.2 14.9 
AR 58.3 17.4   
AZ 36.2 17.6 
CA 19.5 10.5 
CO 34.5 19.1 
CT 16.2 9.2 
DC  5.2  5.9 
DE 26.7 13.2 
FL 26.0 15.0 
GA 41.0 12.1 
HA  9.7 12.2  
ID 56.8 19.1  
IL 19.7 10.3 
IN 39.0 14.4 
IA 44.0 14.5  
KS 43.7 14.7 
KE 48.0 15.9 
LA 45.6 12.6  
MD 19.5 10.5 
MA  12.8 8.5 
ME 41.1 18.4 
MI 40.3 13.1 
MN 44.7 12.5 
MO 45.4 15.9 
MS 54.3 13.0 
MT 61.4 23.9 
NB 42.1 11.8 
NC 40.8 13.0 
ND 54.3 17.7 
NH 30.5 14.0 
NJ  11.3 8.5 
NM 39.6 20.7 
NV 31.5 19.4 
NY 18.1 8.6 
OH 32.1 13.2  
OK 44.6 17.3 
OR 39.8 17.8 
PA 36.5 14.0 
RI  13.3 12.6 
SC 45.0 14.6 
SD 59.9 17.4 
TN 46.4 15.9  
TX 35.9 11.6 
UT 45.3 20.0 
VA 35.9 13.0 
VT 45.5 17.9 
WA 36.2 14.7 
WI 44.3 14.8 
WV 57.9 17.4 
WY 62.8 22.1 
