 id   sex   weight  foot
  35   f   1500   130
  89   m   1470   142
  95   m   1235   132
  96   m   1320   136
  105   m   1460   139
  126   f   1505   136
  144   m   1010   121
  146   m   1170   125
  164   f   1160   132
  183   f   1540   141
  200   f   1360   130
  205   f   1100   129
  219   m   1455   129
  233   f   1120   133
  321   m   1150   127
  322   f   1400   130
  324   m   1125   120
  328   m   1345   135
  378   f   1695   140
  379   f   1470   130
  422   m   1210   130
  432   m   1280   143
  433   f   1650   137
  454   m   1025   135
  455   m   1075   129
  471   m   1375   138
  494   m   1380   139
  541   f   1610   140
  560   f   1540   135
  575   m   1455   138
  622   m   1550   139
  664   m   1340   138
  666   m   1400   145
  697   m   1100   122
  698   f   1270   133
  699   f   1680   138
  714   f   1470   138
  717   m   1440   148
  718   m   1550   140
  723   m   1120   124
  732   f   1490   130
  748   m   1680   136
  750   f   1290   134
  776   f   1130   124
  780   f   1010   122
  786   f   1430   136
  792   f   1385   141
  794   f   1600   141
  798   m   1510   142
  810   f   1925   148
  816   f   1710   139
  854   f   1625   135
  864   m   1250   130
  865   m   1160   123
  867   m   1230   137
  881   m   1220   129
  973   f   1570   137
  975   m   1605   138
  997   f   1620   138
  1207   m   1330   139
  1229   m   1080   134
  1230   m   1120   129
  1243   f   1680   145
  1244   m   1610   137
  1247   f   1395   135
  1255   f   1420   134
  1286   m   1060   125
  1292   f   1460   137
  1298   f   1620   138
  1300   f   1620   139
  1310   m   1340   138
  1331   f   1465   136
  1332   m   1165   130
  1333   m   1915   138
  1338   f   1675   142
  1372   m   1510   140
  1389   m   1440   140
  1391   f   1410   144
  1417   f   1250   125
  1418   f   1360   135
  1421   m   1380   142
  1422   f   1310   140
  1428   f   1540   131
  1431   m   1330   143
  1480   m   1630   139
  1482   f   1460   133
  1634   f   1720   140
  1691   m   1240   138
  1716   m   1250   138
  1721   f   1655   135
  1737   m   1710   138
  1848   m   1270   128
  1903   m   1185   135
  1921   m   1305   128
  1925   f   1420   140
  1935   f   1870   147
  1936   m   1215   115
  1938   f   1660   143
  1945   m   1620   132
   1984   m   1310   140
   1986   m   1180   142
   2002   f   1335   137
   2003   f   800   127
   2004   f   1500   135
   2026   m   1355   144
   2027   f   1390   139
   2030   m   1530   142
   2032   m   1150   131
   2035   f   1510   138
   2036   m   1395   134
