case        price    size    new    taxes    bedrooms    baths
   1       419.85    2048      0     3104           4        2
   2       219.75     912      0     1173           2        1
   3       356.55    1654      0     3076           4        2
   4       300.00    2068      0     1608           3        2
   5       239.85    1477      0     1454           3        3
   6       749.85    3153      1     2997           3        2
   7       398.25    1355      0     4054           3        2
   8       434.85    2075      1     3002           3        2
   9       880.50    3990      0     6627           5        4
   10      105.00    1160      0      320           3        2
   11       96.75    1220      0      630           3        2
   12      250.50    1690      0     1780           3        2
   13      171.90    1380      0     1630           3        2
   14      154.50    1590      0     1530           3        2
   15      151.50    1050      0      930           3        1
   16      105.00     770      0      590           2        1
   17      127.50    1410      0     1050           3        2
   18       33.75    1060      0       20           3        1
   19      135.00    1300      0      870           2        2
   20      199.50    1500      0     1320           3        2
   21      135.75     820      0     1350           2        1
   22      866.25    3949      1     5616           4        3
   23      213.75    1170      0      680           2        1
   24      240.00    1500      0     1840           3        2
   25      360.00    2790      0     3680           4        2
   26      130.50    1030      0     1660           3        1
   27      177.90    1250      0     1620           3        2
   28      210.00    1760      0     3100           3        2
   29      222.00    1550      0     2070           2        3
   30      103.50    1120      0      830           3        2
   31      264.00    2000      0     2260           4        2
   32      129.75    1350      0     1760           3        1
   33      270.00    1840      1     2750           3        2
   34      268.50    2510      0     2020           4        2
   35      507.00    3110      1     4900           3        3
   36      195.00    1760      0     1180           4        2
   37      244.50    1710      0     2150           3        2
   38      187.50    1110      0     1600           2        1
   39      150.00    1360      0     1970           3        2
   40      150.00    1250      0     2060           3        1
   41      150.00    1250      0     1980           3        1
   42      219.75    1480      0     1510           3        2
   43      217.35    1520      0     1710           3        2
   44      274.50    2020      0     1590           3        2
   45      104.85    1010      0     1230           3        2
   46       90.00    1640      0     1510           2        2
   47      190.50     940      0     1450           2        2
   48      129.00    1580      0      970           3        2
   49       75.00     860      0      150           2        2
   50      205.50    1420      0     1470           3        2
   51      181.95    1270      0     1850           3        2
   52      121.50     980      0      820           2        1
   53      282.00    2300      0     2050           4        2
   54      127.50    1430      0      710           3        2
   55      205.50    1380      0     1280           3        2
   56      217.50    1240      0     1360           3        2
   57      103.50    1120      0      830           3        2
   58      163.95    1120      0      800           3        2
   59      197.25    1900      0     1220           3        2
   60      300.00    2430      0     3360           4        3
   61      122.85    1080      0      210           3        2
   62      136.80    1350      0      380           2        1
   63      186.75    1720      0     1920           4        3
   64      337.50    4050      0     4350           3        3
   65      204.75    1500      0     1510           3        2
   66      571.50    2581      0     4154           3        3
   67      375.00    2120      1     1976           3        2
   68      532.35    2745      1     3605           3        3
   69      210.00    1520      0     1400           3        2
   70      134.85    1280      0      790           2        2
   71      205.50    1620      0     1210           3        2
   72      154.50    1520      0     1550           3        2
   73      274.50    2030      0     2800           3        2
   74      210.00    1390      0     2560           3        2
   75      240.00    1880      0     1390           4        2
   76      651.00    2891      0     5443           3        2
   77      195.00    1340      0     2850           2        1
   78      184.50     940      0     2230           2        2
   79       31.50     580      0       20           2        1
   80      127.50    1410      0     1510           4        2
   81      104.85    1150      0      710           3        2
   82      187.50    1380      0     1540           3        2
   83      243.90    1470      1     1780           3        2
   84      235.35    1590      1     2920           2        2
   85      158.85    1200      1     1710           3        2
   86      251.25    1920      0     1880           3        2
   87      227.70    2150      0     1680           3        2
   88      177.45    2200      0     3690           5        3
   89      141.45     860      0      900           2        2
   90      140.85    1230      0      560           3        1
   91      247.50    1140      0     2040           4        2
   92      427.50    2650      1     4390           4        3
   93       67.50    1060      0      690           3        1
   94      187.35    1770      0     2100           3        2
   95      220.50    1860      0     2880           4        2
   96      264.00    1060      0      990           2        2
   97      294.75    1730      0     3030           3        2
   98      198.30    1370      0     1580           3        2
   99      132.60    1560      0     1770           3        2
   100     190.80    1340      0     1430           3        2
