 income      education     race  
     16             10        B      
     18              7        B      
     26              9        B      
     16             11        B      
     34             14        B      
     22             12        B      
     42             16        B      
     42             16        B      
     16              9        B      
     20             10        B      
     66             16        B      
     26             12        B      
     20             10        B      
     30             15        B      
     20             10        B      
     30             19        B      
     32             16        H     
     16             11        H   
     20             10        H   
     58             16        H   
     30             12        H   
     26             10        H   
     20              8        H   
     40             12        H   
     32             10        H   
     22             11        H   
     20             10        H   
     56             14        H   
     32             12        H   
     30             11        H  
     30             14        W     
     48             14        W     
     40              7        W     
     84             18        W     
     50             10        W     
     38             12        W     
     30             12        W     
     76             16        W     
     48             16        W     
     36             11        W     
     40             11        W     
     44             12        W     
     30             10        W     
     60             15        W     
     24              9        W     
     88             17        W     
     46             16        W     
     50             16        W     
     50             14        W     
     22             11        W     
     26             12        W  
     46             16        W     
     22              9        W     
     24              9        W     
     64             14        W     
     62             16        W     
     24             10        W     
     50             13        W     
     32             10        W     
     34             16        W     
     52             18        W     
     24             12        W     
     22             14        W     
     20             13        W     
     30             14        W     
     24             13        W     
     120            18        W     
     22             10        W     
     82             16        W     
     18             12        W     
     26             12        W     
     104            14        W  
     28             12        W     
     32             12        W     
     38             14        W     
     44             12        W     
     22             12        W     
     18             10        W     
     24             12        W     
     56             20        W  

