 C      P       
 1      3     
 9      9     
 4      4     
 1     18     
 1      5   
 30    30     
 0     17     
 2      7     
 0     12     
 1     13  
 7     19     
 5      5     
 47    47     
 3     15     
 9     17  
 11    140     
 2     19     
 5      8     
 2     10     
 11    18  
 1      5     
 1     22     
 1     11     
 5     19     
 2      3  
 2     97     
 0     10     
 1     21     
 7      7     
 4     19  
 4      4     
 11    11     
 5     20     
 14    14     
 5     43  
 2     19     
 10    10     
 10    10     
 0     18     
 10    17  
 4     13     
 17    71     
 8     19     
 0     17     
 48    48  
 2     19     
 11    11     
 6      6     
 7     20     
 4      4  
 92    92     
 4     44     
 1      5     
    
