salary   years    gender
  3400      21         1  
  3917      27         2 
  2686      13         1 
  2598      12         1 
  4024      27         1 
  3245      20         2 
  3653      24         2 
  4387      32         1 
  3015      16         1 
  3316      19         1 
  4438      33         2 
  3993      26         1 
  3628      22         1 
  4040      28         1 
  4056      29         2 
  2821      16         1 
  2645      13         2 
  3029      18         1 
  3408      22         2 
  3588      24         2 
  3061      19         2 
  2280      11         2 
  1965       8         1 
  2333      11         1 
  3440      23         2 
  2993      19         2 

