race                         distance   climb   timeM   timeW 
AnTeallach                       10.6   1.062   74.68   89.72 
ArrocharAlps                     25.0   2.400  187.32  222.03
BaddinsgillRound                 16.4   0.650   87.18  102.48
BeinnLee                         10.2   0.260   41.58   52.52
BeinnRatha                       12.0   0.240   47.75   58.78 
BeinnResipol                     12.0   0.845   68.20   81.38
BenGullipen                      13.5   0.350   49.97   56.70
BenLedi                          10.0   0.750   50.08   63.55
BenLomond                        12.0   0.970   62.27   71.95 
BenNevis                         14.0   1.340   85.57  103.02 
Bennachie                        12.8   0.550   53.85   61.42
BenRinnes                        22.4   1.500  113.78  138.20
BenVenue                         12.0   0.860   71.53   86.35
Black                             8.2   0.240   29.65   31.93 
Cairnsmore                       12.5   0.700   63.93   73.77
CairnTable                        8.0   0.360   30.68   37.90 
Carnethy                          5.0   0.350   24.45   29.35           
Chachnaben                       14.0   0.750   62.72   78.83
CiochMhor                        13.0   0.690   65.20   80.62
Cow                               3.2   0.275   16.93   21.63 
CraigDunain                       9.0   0.270   39.23   45.76                    
CreagBeag                         5.0   0.250   25.90   31.68 
CreagDhubh                        7.0   0.370   26.82   32.35  
Criffel                          11.0   0.550   47.57   56.78 
CulterFell                       17.5   1.490  103.17  119.27
Deuchary                         18.0   0.800   73.73   96.03
DevilsBurdens                    34.0   1.250  150.68  165.65
Dollar                           15.0   0.960   71.88   84.02 
DonardCommedagh                  11.0   1.000   62.32   72.85
Durisdeer                        16.0   1.200   81.88   94.72
EildonTwo                         5.8   0.460   25.80   30.47 
FeelTheBurns                     21.4   0.800   87.87  103.50
FiveHillsOfFife                  26.0   1.120  126.77  176.73
Fyrish                           13.0   0.540   61.77   73.37
GlenClova                        24.0   1.680  154.03  177.73
GlenRosa                         20.0   1.670  138.33  162.28
Goatfell                         13.0   0.880   72.18   86.35 
GreatWilderness                  38.0   0.920  163.65  193.35
Greenmantle                       3.2   0.200   15.10   18.75 
HalfNevis                        10.0   0.670   47.65   61.85 
IsleOfJura                       28.0   2.370  185.23  218.72
IsleOfMull                       12.8   1.520  106.03  123.95
KnockCrieff                       8.0   0.210   28.52   35.27
Knockfarrel                       8.0   0.360   37.40   43.33 
LairigGhru                       43.0   0.640  178.17  212.63  
LargoLaw                         11.0   0.300   43.62   50.62  
LochLochyMunros                  21.0   1.325  126.48  166.27
LomondsofFife                    16.0   0.750   82.17  107.92 
MaddyMoss                        10.0   0.760   47.65   53.17
ManorWater                       16.0   0.700   67.58   73.80
MeallABhuachaille                13.0   0.720   60.00   74.20
Merrick                          13.6   1.000   66.33   78.77
NorthBerwickLaw                   4.5   0.185   17.88   20.40 
Ochil                            32.7   1.650  159.28  171.55
PentlandSkyline                  26.0   1.890  135.87  162.48
RhenigidaleRace                  12.0   0.840   67.37   86.58
RunOfTheMill                     14.7   0.910   66.97   78.68
Scolty                            7.2   0.400   31.50   37.63 
SevensHillsEdinburgh             22.4   0.670   92.67  108.25 
SliochHorseshoe                  20.0   1.000  114.28  148.18
Snowdon                          16.0   0.990   62.48   72.80
StucAChroin                      22.0   1.500  126.33  160.72
TraprainLaw                       9.7   0.190   37.43   41.22  
TrotternishRidge                 28.0   2.000  157.65  191.35 
TwoBreweries                     29.0   1.500  153.95  173.93
TwoInns                          24.0   1.770  156.12  169.47 
Yetholm                          12.8   0.760   60.32   71.55
