sheep weight survival
1 20.8 0
2 23.0 1
3 28 1
4 27.5 1
5 26.0 0
6 24.8 0
7 25.2 0
8 25.6 1
9 24.5 0
10 27.7 1
11 25.1 1
12 25 1
13 27.1 1
14 25.7 0
15 21.8 1
16 24.2 1
17 21.2 1
18 22.5 1
19 23.8 1
20 23.6 1
21 20.5 1
22 24.8 0
23 23.0 1
24 22.3 1
25 27.3 1
26 22.9 1
27 23.4 1
28 22.2 1
29 22.7 1
30 24.2 1
31 23.1 1
32 26.5 1
33 27.2 0
34 26 1
35 26 0
36 26.7 1
37 24 0
38 26.5 1
39 25 1
40 23.2 0
41 22.2 0
42 26.5 1
43 24.8 1
44 24.6 0
45 26.3 1
46 24.6 0
47 26 1
48 23.8 1
49 23 1
50 21.8 0
51 26.5 1
52 26 1
53 27 0
54 31 1
55 26.5 1
56 26 1
57 23.4 1
58 23 1
59 16 1
60 14.4 0
61 31 1
62 34.2 1
63 32.4 1
64 28.6 1
65 27.8 1
66 28 1
67 24.8 1
68 23.2 1
69 22.7 0
70 26.5 1
71 25.5 1
72 27 1
73 24.6 1
74 25.2 1
75 23.2 1
76 26.5 1
77 28 0
78 23 1
79 27 0
80 17 1
81 24.4 1
82 21.7 0
83 26.9 1
84 23.3 0
85 28.3 1
86 26 0
87 25 1
88 23.7 0
89 30.4 1
90 26 1
91 20 1
92 26.6 0
93 23 1
94 21.4 1
95 23.2 1
96 21.6 0
97 27.3 1
98 21.7 0
99 22.5 1
100 23.2 1
101 22.4 1
102 21.3 1
103 22.4 1
104 21.8 1
105 20.6 1
106 27.9 1
107 29 1
108 22.9 1
109 22.6 1
110 21.6 0
111 30.6 1
112 29 1
113 28.8 1
114 29.4 1
115 27.4 1
116 24 1
117 24.9 1
118 17.8 1
119 24.4 1
120 22.3 1
121 22.9 1
122 16.4 0
123 22 1
124 21.8 1
125 23 1
126 22.8 0
127 24.8 1
128 28.9 1
129 25.6 1
130 25.5 1
131 23.4 1
132 24.3 1
133 26 1
134 18 0
135 29.5 1
136 28.8 1
137 26.2 1
138 30.6 0
139 25.3 1
140 19.8 0
141 25.4 0
142 24.5 1
143 25.1 1
144 24.2 1
145 24.8 1
146 24.8 1
147 23.6 1
148 21.6 1
149 21.1 0
150 28 1
151 27 1
152 22.5 1
153 20.7 0
154 23.5 1
155 26.3 1
156 28.3 1
157 21.3 0
158 24 1
159 21.9 1
160 27.5 1
161 26.8 1
162 25.6 1
163 23.2 1
164 25 1
165 23.4 1
166 24.1 1
167 22.5 0
168 29 1
169 29.6 1
170 29.6 1
171 29.4 1
172 28 1
173 28.9 1
174 27.8 1
175 26.1 1
176 26.5 1
177 29.2 1
178 28.5 1
179 27.9 1
180 27.7 1
181 25.8 1
182 25.3 0
183 22.5 1
184 24.1 1
185 22.5 0
186 22.8 1
187 23.8 1
188 23.4 1
189 21.6 1
190 30 1
191 27 1
192 27.6 1
193 27.1 1
194 29.6 1
195 27.3 1
196 27.7 0
197 21.5 1
198 22.5 1
199 22 1
200 20.9 1
201 19.2 1
202 20.2 1
203 25.8 1
204 21.8 0
205 25.5 1
206 24.6 1
207 23.6 1
208 24.9 1
209 24.3 1
210 23.1 1
211 21.5 0
212 23.9 1
213 27.6 1
214 24.3 1
215 24 0
216 22.5 1
217 22.8 1
218 17.5 1
219 24.3 0
220 25 1
221 25.9 1
222 24.8 1
223 24.9 1
224 22.2 1
225 23.9 1
226 25 1
227 19.2 0
228 22.5 1
229 27.5 1
230 26.1 0
231 26.3 1
232 26.1 1
233 26.1 1
234 21.3 0
235 26.8 1
236 31.8 1
237 26.5 1
238 24 1
239 22.2 1
240 22.4 1
241 22 0
242 19.9 1
243 26 0
244 23.2 1
245 22.4 1
246 18.9 1
247 18.2 1
248 23.4 1
249 23.2 1
250 23.8 1
251 24.5 1
252 21.8 1
253 26.5 1
254 26 0
255 18.6 1
256 20 0
257 20.5 1
258 22.8 0
259 19.3 0
260 15 1
261 17.4 0
262 7.9 1
263 19.5 1
264 21.4 1
265 22.8 0
266 22 1
267 26.3 0
268 17.9 1
269 18 0
270 20.3 0
271 7.8 1
272 15 1
273 15.8 0
274 9.4 0
275 18 1
276 22.4 1
277 22.2 1
278 24.7 1
279 29 1
280 29.2 1
281 29.3 1
282 27.8 0
283 21.3 1
284 22.7 1
285 20 1
286 27.9 1
287 25.8 1
288 25.8 1
289 21 1
290 18.5 1
291 27.7 1
292 24.6 1
293 23.8 1
294 26.3 1
295 23.1 0
296 16.1 1
297 17.4 1
298 20.8 1
299 17.1 1
300 22.4 1
301 23 1
302 21 1
303 17 0
304 16 1
305 24.6 1
306 24 1
307 22.4 1
308 24.7 1
309 16.5 1
310 17 1
311 18.3 0
312 17 0
313 19 1
314 22.7 0
315 13 1
316 19.8 0
317 15 0
318 14 1
319 20 0
320 15.5 1
321 19 0
322 16 1
323 26 1
324 17.2 0
325 16.5 0
326 15.8 0
327 13 0
328 14.3 1
329 17.5 1
330 22.6 1
331 14.5 1
332 21 0
333 16 1
334 13 1
335 17 0
336 11.8 1
337 10 1
338 19.2 1
339 12 0
340 14 1
341 17.4 0
342 11.3 0
343 10.8 0
344 18.4 0
345 15 1
346 25.3 0
347 23.4 1
348 30.8 1
349 24.9 1
350 19.7 0
351 24.6 1
352 16.4 0
353 12.2 1
354 22.6 1
355 22.6 1
356 22.4 1
357 21.6 1
358 21.2 1
359 16.5 1
360 17 1
361 23.4 1
362 24.1 0
363 15 1
364 16.5 1
365 16.5 1
366 20.2 1
367 11.5 1
368 16 0
369 16 1
370 22.3 0
371 15 1
372 20.2 0
373 20.5 0
374 24.6 1
375 25 0
376 19.5 1
377 21 1
378 24.8 1
379 24.9 1
380 25 1
381 17.4 1
382 19.8 1
383 24.4 1
384 26.4 1
385 25.1 1
386 24 1
387 25.8 1
388 24.2 1
389 21 1
390 21.2 1
391 21 1
392 14.5 1
393 21.6 1
394 26.7 1
395 25.4 1
396 28.1 1
397 25.9 0
398 23.7 1
399 23.3 1
400 23.2 1
401 23.5 1
402 23 1
403 22.3 1
404 17.1 1
405 21.5 1
406 18.2 1
407 23.8 1
408 23.6 0
409 27 1
410 25.8 1
411 26 0
412 15.5 1
413 21 1
414 23.2 1
415 26.7 1
416 25.9 1
417 25 1
418 19 1
419 24.7 1
420 29 1
421 26.8 1
422 30.6 1
423 32.8 0
424 18.8 0
425 12.2 0
426 16.6 0
427 16.7 0
428 13.2 0
429 9.5 0
430 11.8 0
431 15.8 0
432 15.2 0
433 18.3 1
434 15.2 0
435 15.8 0
436 13.4 0
437 14.4 0
438 15.1 0
439 16 0
440 21.1 1
441 13.4 0
442 16.4 0
443 12.2 0
444 15.2 0
445 15.3 0
446 14 0
447 13.5 0
448 16 0
449 18.2 0
450 16.6 0
451 11.4 0
452 14.2 0
453 10.3 0
454 12.4 0
455 11.4 0
456 13.7 0
457 15.2 0
458 12 0
459 11.5 0
460 18.6 0
461 16.8 0
462 16.2 1
463 20.2 1
464 22.2 1
465 24 1
466 27.5 1
467 22.3 0
468 15 1
469 21.9 1
470 22.2 1
