Nation        GDP      HDI     GII   Fertility  CO2   Homicide  Prison   Internet 
Algeria       12.8     0.72    0.42    2.8       3.2      0.8      162      17    
Argentina     14.7     0.81    0.38    2.2       4.7      5.5      147      60   
Australia     42.3     0.93    0.11    1.9      16.5      1.1      130      83   
Austria       43.1     0.88    0.06    1.4       7.8      0.8       98      81   
Belgium       39.5     0.88    0.07    1.8       8.8      1.8      108      82   
Brazil        14.3     0.74    0.44    1.8       2.2     21.8      274      52   
Canada        40.6     0.90    0.14    1.6      14.1      1.5      118      86   
Chile         21.1     0.82    0.35    1.8       4.6      3.7      266      67   
China         10.8     0.72    0.20    1.7       6.7      1.0      121      46   
Denmark       41.5     0.9     0.06    1.7       7.2      0.8       73      95   
Finland       38.1     0.88    0.07    1.8      10.2      2.2       58      92   
France        36.1     0.88    0.08    2.0       5.2      1.2       98      82   
Germany       42.0     0.91    0.05    1.4       8.9      0.8       79      84   
Greece        25.4     0.85    0.15    1.3       7.6      1.6      111      60   
India          5.1     0.59    0.56    2.5       1.7      3.5       30      15   
Indonesia      8.9     0.68    0.50    2.3       2.3      0.6       59      16   
Iran          15.5     0.75    0.51    1.9       7.8      3.0      284      31   
Ireland       42.9     0.90    0.11    2.0       7.9      0.9       88      78   
Israel        30.6     0.89    0.10    3.0       9.0      2.0      223      71   
Italy         33.7     0.87    0.07    1.4       6.7      0.9      106      59   
Japan         35.0     0.89    0.14    1.4       9.3      0.3       51      86   
Korea         29.5     0.89    0.10    1.2      11.8      2.6       99      85   
Malaysia      21.9     0.77    0.21    2.0       7.8      2.4      132      67   
Mexico        16.1     0.76    0.38    2.2       3.9     23.7      210      44   
Morocco        6.9     0.62    0.46    2.7       1.8      1.4      220      56   
Netherlands   42.5     0.92    0.06    1.7      10.1      0.9       82      94   
NewZealand    32.4     0.91    0.18    2.0       7.1      0.9      192      83   
Nigeria        5.4     0.50    0.55    6.0       0.5     12.2       32      38   
Norway        62.9     0.94    0.07    1.9       9.2      0.6       72      95   
Pakistan       4.4     0.54    0.56    3.2       0.9      7.8       39      11   
Peru          11.6     0.74    0.39    2.4       1.8     10.3      202      39   
Philippines    6.0     0.66    0.41    3.0       0.9      5.4      111      37   
Portugal      25.1     0.82    0.12    1.3       4.7      1.1      136      62   
Russia        23.2     0.78    0.31    1.7      12.6      9.7      475      61   
SouthAfrica   12.0     0.66    0.46    2.4       9.3     30.9      294      49   
Spain         31.2     0.87    0.10    1.3       5.8      0.8      147      72   
Sweden        41.8     0.90    0.05    1.9       5.5      0.9       67      95   
Switzerland   51.3     0.92    0.03    1.5       4.6      0.6       82      87   
Turkey        18.2     0.76    0.36    2.0       4.4      3.3      179      46   
UK            34.7     0.89    0.19    1.9       7.1      1.2      148      90   
US            50.9     0.91    0.26    1.9      17.0      4.7      716      84   
Vietnam        4.9     0.64    0.32    1.7       2.0      1.6      145      44   

